trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
平日_06時00分_系統1182,07:46:00,07:46:00,318_05,95,表町BC,0,0
平日_06時00分_系統1182,07:47:00,07:47:00,316_05,96,表町BC,0,0
平日_06時00分_系統1182,07:49:00,07:49:00,314_05,97,表町BC,0,0
平日_06時00分_系統1182,07:50:00,07:50:00,312_05,98,表町BC,0,0
平日_06時00分_系統1182,07:52:00,07:52:00,516_05,99,表町BC,0,0
平日_06時00分_系統1182,07:54:00,07:54:00,514_05,100,表町BC,0,0
平日_06時00分_系統1182,07:56:00,07:56:00,4_01,101,表町BC,0,0
平日_06時00分_系統1182,07:57:00,07:57:00,5_01,102,表町BC,0,0
平日_06時00分_系統1182,07:58:00,07:58:00,6_06,103,表町BC,0,0
平日_06時00分_系統1182,07:59:00,07:59:00,8_06,104,表町BC,0,0
平日_06時00分_系統1182,07:59:00,07:59:00,10_01,105,表町BC,0,0
平日_06時00分_系統1182,08:02:00,08:02:00,12_01,106,表町BC,1,0
平日_06時08分_系統1332,06:08:00,06:08:00,824_05,1,表町BC（新道河本 経由）,0,1
平日_06時08分_系統1332,06:08:00,06:08:00,822_05,2,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:09:00,06:09:00,820_05,3,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:09:00,06:09:00,818_05,4,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:10:00,06:10:00,814_05,5,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:10:00,06:10:00,812_05,6,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:11:00,06:11:00,810_05,7,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:11:00,06:11:00,808_05,8,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:12:00,06:12:00,806_05,9,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:13:00,06:13:00,804_05,10,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:13:00,06:13:00,802_05,11,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:14:00,06:14:00,800_05,12,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:16:00,06:16:00,2086_01,13,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:16:00,06:16:00,738_04,14,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:17:00,06:17:00,952_05,15,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:17:00,06:17:00,950_05,16,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:18:00,06:18:00,948_05,17,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:19:00,06:19:00,946_05,18,表町BC（新道河本 経由）,0,0
平日_06時08分_系統1332,06:21:00,06:21:00,353_05,19,表町BC,0,0
平日_06時08分_系統1332,06:22:00,06:22:00,351_05,20,表町BC,0,0
平日_06時08分_系統1332,06:23:00,06:23:00,350_05,21,表町BC,0,0
平日_06時08分_系統1332,06:24:00,06:24:00,348_05,22,表町BC,0,0
平日_06時08分_系統1332,06:25:00,06:25:00,552_05,23,表町BC,0,0
平日_06時08分_系統1332,06:25:00,06:25:00,344_05,24,表町BC,0,0
平日_06時08分_系統1332,06:26:00,06:26:00,343_05,25,表町BC,0,0
