route_id,service_id,trip_id,trip_headsign
2021,平日,平日_18時05分_系統2021,ネオ東６（中 ・下市 経由）
5141,平日,平日_18時10分_系統5141,東岡山（岡山駅 経由）
1631,平日,平日_18時15分_系統1631,ネオ西９（西 ・下市 経由）
3107,平日,平日_18時23分_系統3107,長岡・駅前
1401,平日,平日_18時25分_系統1401,瀬戸駅
1112,平日,平日_18時25分_系統1112,表町BC経由岡山駅（清水 経由）
1111,平日,平日_18時30分_系統1111,四御神（県庁前 経由）
1062,平日,平日_18時32分_系統1062,表町ＢＣ経由岡山駅
2011,平日,平日_18時33分_系統2011,ネオ東６（新道河本 経由）
3108,平日,平日_18時34分_系統3108,表町ＢＣ経由岡山駅
2001,平日,平日_18時35分_系統2001,瀬戸駅（ネオ東６ 経由）
1282,平日,平日_18時35分_系統1282,岡山駅前経由表町BC（下市・中 経由）
2064,平日,平日_18時40分_系統2064,仁堀
5141,平日,平日_18時45分_系統5141,東岡山（岡山駅 経由）
1621,平日,平日_18時45分_系統1621,ネオ西９（中 ・下市 経由）
5692,平日,平日_18時53分_系統5692,表町BC（高島団地・岡山駅前 経由）
2032,平日,平日_18時54分_系統2032,ネオ東６
1041,平日,平日_18時55分_系統1041,八日市
3104,平日,平日_18時55分_系統3104,八日市
1112,平日,平日_18時55分_系統1112,表町BC経由岡山駅（清水 経由）
1371,平日,平日_19時05分_系統1371,山陽団地（西→中 経由）
1612,平日,平日_19時10分_系統1612,岡山駅前経由表町BC（新道河本 経由）
5522,平日,平日_19時11分_系統5522,表町BC（高島団地・岡山駅前 経由）
1111,平日,平日_19時15分_系統1111,四御神（県庁前 経由）
5141,平日,平日_19時15分_系統5141,東岡山（岡山駅 経由）
1642,平日,平日_19時20分_系統1642,瀬戸駅（岡山駅 経由）
3108,平日,平日_19時20分_系統3108,表町ＢＣ経由岡山駅
1062,平日,平日_19時25分_系統1062,表町ＢＣ経由岡山駅
1621,平日,平日_19時25分_系統1621,ネオ西９（中 ・下市 経由）
1112,平日,平日_19時29分_系統1112,表町BC経由岡山駅（清水 経由）
5141,平日,平日_19時45分_系統5141,東岡山（岡山駅 経由）
2021,平日,平日_19時50分_系統2021,ネオ東６（中 ・下市 経由）
1272,平日,平日_19時50分_系統1272,岡山駅前経由表町BC（新道河本 経由）
1041,平日,平日_19時55分_系統1041,八日市
1631,平日,平日_20時05分_系統1631,ネオ西９（西 ・下市 経由）
1111,平日,平日_20時10分_系統1111,四御神（県庁前 経由）
3107,平日,平日_20時15分_系統3107,長岡・駅前
5522,平日,平日_20時15分_系統5522,表町BC（高島団地・岡山駅前 経由）
5141,平日,平日_20時20分_系統5141,東岡山（岡山駅 経由）
2001,平日,平日_20時25分_系統2001,瀬戸駅（ネオ東６ 経由）
2021,平日,平日_20時30分_系統2021,ネオ東６（中 ・下市 経由）
5132,平日,平日_20時40分_系統5132,表町BC（高島団地・弓之町 経由）
