stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
756_05,756,桜が丘西一丁目上,,34.766619,134.041064,756_05,,0
756_06,756,桜が丘西一丁目上,,34.766980,134.041113,756_06,,0
758_05,758,桜が丘西二丁目,,34.767997,134.041907,758_05,,0
758_06,758,桜が丘西二丁目,,34.768675,134.041888,758_06,,0
760_05,760,桜が丘西三丁目,,34.771233,134.040584,760_05,,0
760_06,760,桜が丘西三丁目,,34.771220,134.040386,760_06,,0
762_05,762,桜が丘西三丁目上,,34.772835,134.039284,762_05,,0
762_06,762,桜が丘西三丁目上,,34.772868,134.039074,762_06,,0
764_05,764,桜が丘西五丁目,,34.776670,134.038414,764_05,,0
764_06,764,桜が丘西五丁目,,34.776590,134.038222,764_06,,0
766_05,766,桜が丘西六丁目,,34.777989,134.038261,766_05,,0
766_06,766,桜が丘西六丁目,,34.777936,134.038111,766_06,,0
768_05,768,桜が丘中央,,34.780971,134.038213,768_05,,0
768_06,768,桜が丘中央,,34.780818,134.037996,768_06,,0
770_05,770,桜が丘東五丁目,,34.782738,134.038098,770_05,,0
770_06,770,桜が丘東五丁目,,34.783223,134.038017,770_06,,0
772_05,772,桜が丘東六丁目,,34.785946,134.038593,772_05,,0
772_06,772,桜が丘東六丁目,,34.785010,134.038118,772_06,,0
774_05,774,桜が丘東六丁目上,,34.787808,134.039628,774_05,,0
774_06,774,桜が丘東六丁目上,,34.788428,134.039949,774_06,,0
776_05,776,保育園前,,34.789346,134.040860,776_05,,0
776_06,776,保育園前,,34.789831,134.041189,776_06,,0
778_05,778,野間,,34.790517,134.042186,778_05,,0
780_05,780,桜が丘西10丁目東,,34.781378,134.037639,780_05,,0
780_06,780,桜が丘西10丁目東,,34.781245,134.037394,780_06,,0
782_05,782,桜が丘西10丁目中,,34.781341,134.035757,782_05,,0
782_06,782,桜が丘西10丁目中,,34.781216,134.035477,782_06,,0
784_05,784,桜が丘西10丁目西,,34.780415,134.032801,784_05,,0
784_06,784,桜が丘西10丁目西,,34.780915,134.033721,784_06,,0
786_05,786,桜が丘西９丁目東,,34.779766,134.031664,786_05,,0
786_06,786,桜が丘西９丁目東,,34.779996,134.031901,786_06,,0
788_05,788,桜が丘西９丁目中,,34.779093,134.030421,788_05,,0
788_06,788,桜が丘西９丁目中,,34.778541,134.029646,788_06,,0
790_05,790,桜が丘西９丁目西,,34.777651,134.027496,790_05,,0
790_06,790,桜が丘西９丁目西,,34.778083,134.028451,790_06,,0
792_05,792,桜が丘運動公園口,,34.777321,134.026227,792_05,,0
800_04,800,上市,,34.757163,134.014599,800_04,,0
800_05,800,上市,,34.757028,134.014582,800_05,,0
802_04,802,正崎下,,34.760630,134.013832,802_04,,0
802_05,802,正崎下,,34.760745,134.013908,802_05,,0
804_04,804,正崎,,34.765647,134.012927,804_04,,0
804_05,804,正崎,,34.765653,134.013078,804_05,,0
806_04,806,五日市下,,34.771078,134.012376,806_04,,0
806_05,806,五日市下,,34.769405,134.012750,806_05,,0
808_04,808,五日市上,,34.773509,134.012009,808_04,,0
808_05,808,五日市上,,34.772944,134.012211,808_05,,0
810_04,810,農業試験場口,,34.778063,134.011180,810_04,,0
810_05,810,農業試験場口,,34.778345,134.011201,810_05,,0
812_04,812,東窪田,,34.781887,134.010400,812_04,,0
812_05,812,東窪田,,34.782063,134.010419,812_05,,0
814_04,814,窪田,,34.783962,134.009956,814_04,,0
814_05,814,窪田,,34.784013,134.010032,814_05,,0
816_04,816,窪田上,,34.787823,134.009369,816_04,,0
818_04,818,町苅田下,,34.789546,134.009333,818_04,,0
818_05,818,町苅田下,,34.789115,134.009401,818_05,,0
820_04,820,町苅田,,34.793436,134.006899,820_04,,0
820_05,820,町苅田,,34.793307,134.006987,820_05,,0
822_04,822,赤坂支所前,,34.798346,134.009251,822_04,,0
822_05,822,赤坂支所前,,34.797709,134.008728,822_05,,0
824_04,824,赤坂中学校前,,34.799694,134.010839,824_04,,0
824_05,824,赤坂中学校前,,34.799374,134.010608,824_05,,0
826_04,826,軽部住宅前,,34.801751,134.012926,826_04,,0
826_05,826,軽部住宅前,,34.801291,134.012733,826_05,,0
828_04,828,軽部下,,34.803896,134.014666,828_04,,0
828_05,828,軽部下,,34.803817,134.014707,828_05,,0
830_04,830,軽部上,,34.808402,134.013183,830_04,,0
830_05,830,軽部上,,34.807984,134.013770,830_05,,0
832_04,832,多賀下,,34.818918,134.014189,832_04,,0
832_05,832,多賀下,,34.819274,134.014210,832_05,,0
834_04,834,多賀上,,34.822934,134.011896,834_04,,0
834_05,834,多賀上,,34.822436,134.012395,834_05,,0
836_04,836,出屋,,34.829601,134.012928,836_04,,0
836_05,836,出屋,,34.829306,134.013121,836_05,,0
838_04,838,出屋上,,34.833067,134.011872,838_04,,0
838_05,838,出屋上,,34.832805,134.012092,838_05,,0
840_04,840,坂辺,,34.837612,134.011359,840_04,,0
840_05,840,坂辺,,34.836701,134.011826,840_05,,0
842_04,842,坂辺上,,34.841186,134.010010,842_04,,0
842_05,842,坂辺上,,34.841353,134.010109,842_05,,0
844_04,844,合田下,,34.845850,134.006005,844_04,,0
844_05,844,合田下,,34.846301,134.005930,844_05,,0
846_04,846,合田,,34.852016,134.008423,846_04,,0
846_05,846,合田,,34.852243,134.008640,846_05,,0
848_04,848,合田上,,34.862760,134.008564,848_04,,0
848_05,848,合田上,,34.862789,134.008703,848_05,,0
850_04,850,仁堀下,,34.866137,134.008736,850_04,,0
850_05,850,仁堀下,,34.865580,134.009109,850_05,,0
852_04,852,仁堀,,34.872985,134.012677,852_04,,0
852_05,852,仁堀,,34.873427,134.013047,852_05,,0
854_04,854,仁堀局前,,34.877745,134.017609,854_04,,0
854_05,854,仁堀局前,,34.877630,134.017622,854_05,,0
856_04,856,仁堀上,,34.878583,134.020782,856_04,,0
856_05,856,仁堀上,,34.878453,134.020468,856_05,,0
858_04,858,菊ケ峠,,34.881474,134.029727,858_04,,0
858_05,858,菊ケ峠,,34.881406,134.029915,858_05,,0
860_04,860,塩木上,,34.883060,134.036111,860_04,,0
860_05,860,塩木上,,34.883040,134.035997,860_05,,0
862_04,862,塩木中,,34.883371,134.042663,862_04,,0
862_05,862,塩木中,,34.882722,134.041223,862_05,,0
864_04,864,塩木下,,34.884946,134.047542,864_04,,0
864_05,864,塩木下,,34.884622,134.046880,864_05,,0
866_04,866,湯免温泉,,34.887485,134.057402,866_04,,0
866_05,866,湯免温泉,,34.887487,134.057893,866_05,,0
868_04,868,佐伯北,,34.890950,134.064470,868_04,,0
868_05,868,佐伯北,,34.890730,134.064287,868_05,,0
870_04,870,吉井総合センター,,34.892973,134.070003,870_04,,0
870_05,870,吉井総合センター,,34.892840,134.069426,870_05,,0
872_04,872,高田,,34.894317,134.072780,872_04,,0
872_05,872,高田,,34.894290,134.072890,872_05,,0
874_04,874,稲蒔,,34.896770,134.082280,874_04,,0
874_05,874,稲蒔,,34.896796,134.082647,874_05,,0
876_04,876,福田住宅前,,34.903525,134.083790,876_04,,0
876_05,876,福田住宅前,,34.904711,134.084227,876_05,,0
878_04,878,福田,,34.908652,134.087046,878_04,,0
878_05,878,福田,,34.908391,134.086963,878_05,,0
880_04,880,山方口,,34.912623,134.090200,880_04,,0
880_05,880,山方口,,34.912217,134.089991,880_05,,0
882_04,882,吉井中学校前,,34.917316,134.092998,882_04,,0
882_05,882,吉井中学校前,,34.917170,134.092970,882_05,,0
884_04,884,周匝,,34.918840,134.093807,884_04,,0
884_05,884,周匝,,34.918515,134.093692,884_05,,0
886_04,886,周匝上,,34.921141,134.096396,886_04,,0
