"trans_id","lang","translation"
"今五丁目","ja-Kana","イマゴチョウメ"
"今八丁目","en","Ima 8-chome"
"今八丁目","ja","今八丁目"
"今八丁目","ja-Kana","イマハッチョウメ"
"今六丁目","en","Ima 6-chome"
"今六丁目","ja","今六丁目"
"今六丁目","ja-Kana","イマロクチョウメ"
"今村宮","en","Imamura-gu"
"今村宮","ja","今村宮"
"今村宮","ja-Kana","イマムラグウ"
"今村宮北","en","Imamura-gu-kita"
"今村宮北","ja","今村宮北"
"今村宮北","ja-Kana","イマムラグウキタ"
"今村西","en","Imamura-nishi"
"今村西","ja","今村西"
"今村西","ja-Kana","イマムラニシ"
"企業団地中","en","Kigyo Danchi-naka"
"企業団地中","ja","企業団地中"
"企業団地中","ja-Kana","キギョウダンチナカ"
"企業団地北","en","Kigyo Danchi-kita"
"企業団地北","ja","企業団地北"
"企業団地北","ja-Kana","キギョウダンチキタ"
"企業団地南","en","Kigyo Danchi-minami"
"企業団地南","ja","企業団地南"
"企業団地南","ja-Kana","キギョウダンチミナミ"
"伊島校前","en","Ishimako-mae"
"伊島校前","ja","伊島校前"
"伊島校前","ja-Kana","イシマコウマエ"
"伊島町二丁目","en","Ishima-cho 2-chome"
"伊島町二丁目","ja","伊島町二丁目"
"伊島町二丁目","ja-Kana","イシマチョウニチョウメ"
"伊福町一丁目","en","Ifuku-cho 1-chome"
"伊福町一丁目","ja","伊福町一丁目"
"伊福町一丁目","ja-Kana","イフクチョウイッチョウメ"
"伊福町三丁目","en","Ifuku-cho 3-chome"
"伊福町三丁目","ja","伊福町三丁目"
"伊福町三丁目","ja-Kana","イフクチョウサンチョウメ"
"伊福町二丁目","en","Ifuku-cho 2-chome"
"伊福町二丁目","ja","伊福町二丁目"
"伊福町二丁目","ja-Kana","イフクチョウニチョウメ"
"住友重機械正門前","en","Sumitomo Jukikai Seimon-mae"
"住友重機械正門前","ja","住友重機械正門前"
"住友重機械正門前","ja-Kana","スミトモジュウキカイセイモンマエ"
"住友重機械西門","en","Sumitomo Jukikai Nishimon"
"住友重機械西門","ja","住友重機械西門"
"住友重機械西門","ja-Kana","スミトモジュウキカイニシモン"
"佐井田","en","Saida"
"佐井田","ja","佐井田"
"佐井田","ja-Kana","サイダ"
"作陽学園北","en","Sakuyo Gakuen-kita"
"作陽学園北","ja","作陽学園北"
"作陽学園北","ja-Kana","サクヨウガクエンキタ"
"作陽学園正門","en","Sakuyo Gakuen Seimon"
"作陽学園正門","ja","作陽学園正門"
"作陽学園正門","ja-Kana","サクヨウガクエンセイモン"
"保育所前","en","Hoikusho-mae"
