"trans_id","lang","translation"
"健康づくり財団病院前","ja-Hrkt","ケンコウヅクリザイダンビョウインマエ"
"備中庄","en","Bitchu-Sho"
"備中庄","ja","備中庄"
"備中庄","ja-Hrkt","ビッチュウショウ"
"備前白石","en","Bizen-Shiraishi"
"備前白石","ja","備前白石"
"備前白石","ja-Hrkt","ビゼンシライシ"
"備前野田","en","Bizen-Noda"
"備前野田","ja","備前野田"
"備前野田","ja-Hrkt","ビゼンノダ"
"元上町","en","Motouecho"
"元上町","ja","元上町"
"元上町","ja-Hrkt","モトウエチョウ"
"元町","en","Motomachi"
"元町","ja","元町"
"元町","ja-Hrkt","モトマチ"
"光政","en","Mitsumasa"
"光政","ja","光政"
"光政","ja-Hrkt","ミツマサ"
"光明園","en","Komyoen"
"光明園","ja","光明園"
"光明園","ja-Hrkt","コウミョウエン"
"光明園宮の段","en","Komyoen-Miyanodan"
"光明園宮の段","ja","光明園宮の段"
"光明園宮の段","ja-Hrkt","コウミョウエンミヤノダン"
"光明園木尾","en","Komyoen-Kio"
"光明園木尾","ja","光明園木尾"
"光明園木尾","ja-Hrkt","コウミョウエンキオ"
"光津","en","Kozu"
"光津","ja","光津"
"光津","ja-Hrkt","コウヅ"
"光生病院前","en","Kousei Byoin-mae（Kousei Hospital）"
"光生病院前","ja","光生病院前"
"光生病院前","ja-Hrkt","コウセイビョウインマエ"
"免許センター","en","Menkyo Center (Driver's License Center)"
"免許センター","ja","免許センター"
"免許センター","ja-Hrkt","メンキョセンター"
"クラレ入口","en","KURARAY Iriguchi"
"クラレ入口","ja","クラレ入口"
"クラレ入口","ja-Hrkt","クラレイリグチ"
"入船町入口","en","Irifunecho Iriguchi"
"入船町入口","ja","入船町入口"
"入船町入口","ja-Hrkt","イリフネチョウイリグチ"
"八島","en","Yashima"
"八島","ja","八島"
"八島","ja-Hrkt","ヤシマ"
"八浜住宅前","en","Hachihama Jutaku-mae"
"八浜住宅前","ja","八浜住宅前"
"八浜住宅前","ja-Hrkt","ハチハマジュウタクマエ"
"八浜市民センター","en","Hachihama Shimin Center"
"八浜市民センター","ja","八浜市民センター"
"八浜市民センター","ja-Hrkt","ハチハマシミンセンター"
"八浜駅前","en","Hachihama-Ekimae（Hachihama Sta.）"
"八浜駅前","ja","八浜駅前"
"八浜駅前","ja-Hrkt","ハチハマエキマエ"
"八王寺","en","Hachioji"
"八王寺","ja","八王寺"
"八王寺","ja-Hrkt","ハチオウジ"
"八王寺口","en","Hachiojiguchi"
"八王寺口","ja","八王寺口"
"八王寺口","ja-Hrkt","ハチオウジグチ"
"六区","en","Rokku"
"六区","ja","六区"
"六区","ja-Hrkt","ロック"
"六枚橋","en","Rokumaibashi"
"六枚橋","ja","六枚橋"
"六枚橋","ja-Hrkt","ロクマイバシ"
"内山下","en","Uchisange"
"内山下","ja","内山下"
"内山下","ja-Hrkt","ウチサンゲ"
"円定寺","en","Enjouji"
"円定寺","ja","円定寺"
"円定寺","ja-Hrkt","エンジョウジ"
"円張西","en","Enbari-nishi"
"円張西","ja","円張西"
"円張西","ja-Hrkt","エンバリニシ"
"出崎口","en","Desakiguchi"
"出崎口","ja","出崎口"
"出崎口","ja-Hrkt","デサキグチ"
"出石町一丁目","en","Izushi-cho 1-chome"
"出石町一丁目","ja","出石町一丁目"
"出石町一丁目","ja-Hrkt","イズシチョウイッチョウメ"
"別所","en","Bessho"
"別所","ja","別所"
"別所","ja-Hrkt","ベッショ"
"ハーバーアイランド（ナカシマプロペラ前）","en","Harbor Island"
"ハーバーアイランド（ナカシマプロペラ前）","ja","ハーバーアイランド（ナカシマプロペラ前）"
"ハーバーアイランド（ナカシマプロペラ前）","ja-Hrkt","ハーバーアイランドナカシマプロペラマエ"
"スポーツセンター前","en","Sports Center-mae"
"スポーツセンター前","ja","スポーツセンター前"
"スポーツセンター前","ja-Hrkt","スポーツセンターマエ"
"ゴルフセンター前","en","Golf Center-mae"
"ゴルフセンター前","ja","ゴルフセンター前"
"ゴルフセンター前","ja-Hrkt","ゴルフセンターマエ"
"ジャパンパイル前","en","JAPAN PILE-mae"
"ジャパンパイル前","ja","ジャパンパイル前"
"ジャパンパイル前","ja-Hrkt","ジャパンパイルマエ"
"ほんぶしん前","en","Honbushin-mae"
"ほんぶしん前","ja","ほんぶしん前"
"ほんぶしん前","ja-Hrkt","ホンブシンマエ"
"クラレ前","en","KURARAY-mae"
"クラレ前","ja","クラレ前"
"クラレ前","ja-Hrkt","クラレマエ"
"トンボ前","en","TOMBOW-mae"
"トンボ前","ja","トンボ前"
"トンボ前","ja-Hrkt","トンボマエ"
"プール前","en","Pool-mae"
"プール前","ja","プール前"
"プール前","ja-Hrkt","プールマエ"
"加茂宗津","en","Kamosozu"
"加茂宗津","ja","加茂宗津"
"加茂宗津","ja-Hrkt","カモソウヅ"
"ハーバーブリッジ北","en","Harbor Bridge-kita"
"ハーバーブリッジ北","ja","ハーバーブリッジ北"
"ハーバーブリッジ北","ja-Hrkt","ハーバーブリッジキタ"
"ハローワーク北","en","Hellowork-kita"
"ハローワーク北","ja","ハローワーク北"
"ハローワーク北","ja-Hrkt","ハローワークキタ"
"北浦","en","Kitaura"
"北浦","ja","北浦"
"北浦","ja-Hrkt","キタウラ"
"北浦渡船場","en","Kitaura Tosenjo"
"北浦渡船場","ja","北浦渡船場"
"北浦渡船場","ja-Hrkt","キタウラトセンジョウ"
"北畝中","en","Kitase-naka"
"北畝中","ja","北畝中"
"北畝中","ja-Hrkt","キタセナカ"
"北畝公民館前","en","Kitase Kominkan-mae"
"北畝公民館前","ja","北畝公民館前"
"北畝公民館前","ja-Hrkt","キタセコウミンカンマエ"
"北緑町","en","Kitamidorimachi"
"北緑町","ja","北緑町"
"北緑町","ja-Hrkt","キタミドリマチ"
"北長尾","en","Kita-Nagao"
"北長尾","ja","北長尾"
"北長尾","ja-Hrkt","キタナガオ"
"北長瀬駅前","en","Kitanagase-Ekimae（Kitanagase Sta.）"
"北長瀬駅前","ja","北長瀬駅前"
"北長瀬駅前","ja-Hrkt","キタナガセエキマエ"
"十日市","en","Tokaichi"
"十日市","ja","十日市"
"十日市","ja-Hrkt","トオカイチ"
"十日市南","en","Tokaichi-minami"
"十日市南","ja","十日市南"
"十日市南","ja-Hrkt","トウカイチミナミ"
"十禅寺登山口","en","Juzenji Tozanguchi"
"十禅寺登山口","ja","十禅寺登山口"
"十禅寺登山口","ja-Hrkt","ジュウゼンジトザングチ"
"千手","en","Senzu"
"千手","ja","千手"
"千手","ja-Hrkt","センズ"
"千手弘法寺前","en","Senzu Koboji-mae"
"千手弘法寺前","ja","千手弘法寺前"
"千手弘法寺前","ja-Hrkt","センズコウボウジマエ"
"千日前","en","Sennichimae"
"千日前","ja","千日前"
"千日前","ja-Hrkt","センニチマエ"
"千町","en","Sencho"
"千町","ja","千町"
"千町","ja-Hrkt","センチョウ"
"千町橋","en","Senchobashi"
"千町橋","ja","千町橋"
"千町橋","ja-Hrkt","センチョウバシ"
"千町西","en","Sencho-nishi"
"千町西","ja","千町西"
"千町西","ja-Hrkt","センチョウニシ"
"千鳥町","en","Chidoricho"
"千鳥町","ja","千鳥町"
"千鳥町","ja-Hrkt","チドリチョウ"
"半田山ハイツ中区","en","Handayama Heights Naka-ku"
"半田山ハイツ中区","ja","半田山ハイツ中区"
"半田山ハイツ中区","ja-Hrkt","ハンダヤマハイツナカク"
"半田山ハイツ南区","en","Handayama Heights Minami-ku"
"半田山ハイツ南区","ja","半田山ハイツ南区"
"半田山ハイツ南区","ja-Hrkt","ハンダヤマハイツミナミク"
"半田山ハイツ東区","en","Handayama Heights Higashi-ku"
"半田山ハイツ東区","ja","半田山ハイツ東区"
"半田山ハイツ東区","ja-Hrkt","ハンダヤマハイツヒガシク"
"半田山ハイツ西区","en","Handayama Heights Nishi-ku"
"半田山ハイツ西区","ja","半田山ハイツ西区"
"半田山ハイツ西区","ja-Hrkt","ハンダヤマハイツニシク"
"協立病院前","en","Kyoritsu Byoin-mae (Kyoritsu General Hospital main gate)"
"協立病院前","ja","協立病院前"
"協立病院前","ja-Hrkt","キョウリツビョウインマエ"
"ほんぶしん南","en","Honbushin-minami"
"ほんぶしん南","ja","ほんぶしん南"
"ほんぶしん南","ja-Hrkt","ホンブシンミナミ"
"南ふれあいセンター","en","Minami Fureai Center"
"南ふれあいセンター","ja","南ふれあいセンター"
"南ふれあいセンター","ja-Hrkt","ミナミフレアイセンター"
"南亀島","en","Minamikamejima"
"南亀島","ja","南亀島"
"南亀島","ja-Hrkt","ミナミカメジマ"
"南山寮","en","Nanzanryo"
"南山寮","ja","南山寮"
"南山寮","ja-Hrkt","ナンザンリョウ"
"南方交番前","en","Minamikata-koban-mae"
"南方交番前","ja","南方交番前"
"南方交番前","ja-Hrkt","ミナミカタコウバンマエ"
"南栄町","en","Minamisakaemachi"
"南栄町","ja","南栄町"
"南栄町","ja-Hrkt","ミナミサカエマチ"
"南緑町","en","Minamimidorimachi"
"南緑町","ja","南緑町"
"南緑町","ja-Hrkt","ミナミミドリマチ"
"南輝小学校前","en","Nanki Shogakko-mae"
"南輝小学校前","ja","南輝小学校前"
"南輝小学校前","ja-Hrkt","ナンキショウガッコウマエ"
"ＪＦＥ南門前","en","JFE Minamimon-mae(JFE South Gate)"
"ＪＦＥ南門前","ja","ＪＦＥ南門前"
"ＪＦＥ南門前","ja-Hrkt","ジェイエフイーミナミモンマエ"
"博愛会病院前","en","Hakuaikai Byoin-mae (Hakuaikai Hospital main gate)"
