"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_1008_1","2_220_20190401","220_1114331_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1100821_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2110231_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2110931_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2102921_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2104121_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112321_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2103531_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1112021_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1104631_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2100431_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2103221_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1102031_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2111741_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2100331_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1113821_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112131_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1103121_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1111741_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2105731_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1105731_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112931_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2113711_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1106_1","2_220_20190401","220_1112222_20190401","岡山駅",,,,"2_1106_1",,,"2"
"10001_2026_1","2_221_20190401","221_2102226_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2103827_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2100716_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2100536_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2111137_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_220_20190401","220_1101716_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2100335_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2111034_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_221_20190401","221_2112124_20190401","天満屋",,,,"2_2026_1",,,"2"
"10001_2027_1","2_221_20190401","221_2101623_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100212_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1101715_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100525_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2101433_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2110525_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1112925_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2111623_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110825_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111725_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111423_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110423_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112915_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112313_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110623_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113113_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110625_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2102225_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1100416_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100334_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2103826_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2111033_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113223_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2110815_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112612_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2105715_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111813_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112123_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2102823_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1101723_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113225_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112735_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2103534_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113717_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100523_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1101725_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111713_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1104745_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_21129110_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2105713_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113533_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2105734_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2104223_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1104743_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2111136_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1101745_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1101033_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110823_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2105936_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111425_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1112516_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113613_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1100843_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1111723_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2110813_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100323_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110425_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112614_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100535_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1104715_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1112643_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100715_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1112923_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1112913_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1104313_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1110933_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2100214_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_220_20190401","220_1113535_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2110835_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2112826_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2111713_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2102233_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_221_20190401","221_2103115_20190401","大学病院",,,,"2_2027_1",,,"2"
"10001_2028_1","2_220_20190401","220_1111722_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2112522_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1101724_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1112142_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110422_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1104742_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1104744_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1112922_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1111424_20190401","岡電高屋",,,,"2_2028_1",,,"2"
