trans_id,lang,translation
山陽団地西５番,ja-Hrkt,さんようだんちにしごばん
山陽団地西６番,ja,山陽団地西６番
山陽団地西６番,ja-Hrkt,さんようだんちにしろくばん
山陽団地西７番,ja,山陽団地西７番
山陽団地西７番,ja-Hrkt,さんようだんちにしななばん
山陽団地東,ja,山陽団地東
山陽団地東,ja-Hrkt,さんようだんちひがし
老人福祉センター,ja,老人福祉センター
老人福祉センター,ja-Hrkt,ろうじんふくしせんたー
下市上,ja,下市上
下市上,ja-Hrkt,しもいちかみ
就実高校中学校前,ja,就実高校中学校前
就実高校中学校前,ja-Hrkt,しゅうじつこうこうちゅうがっこうまえ
美術館前,ja,美術館前
美術館前,ja-Hrkt,びじゅつかんまえ
弓之町,ja,弓之町
弓之町,ja-Hrkt,ゆみのちょう
中島,ja,中島
中島,ja-Hrkt,なかしま
中島上,ja,中島上
中島上,ja-Hrkt,なかしまかみ
高島団地,ja,高島団地
高島団地,ja-Hrkt,たかしまだんち
保育所前,ja,保育所前
保育所前,ja-Hrkt,ほいくしょまえ
児童公園前,ja,児童公園前
児童公園前,ja-Hrkt,じどうこうえんまえ
新屋敷団地西,ja,新屋敷団地西
新屋敷団地西,ja-Hrkt,しんやしきだんちにし
新屋敷団地中,ja,新屋敷団地中
新屋敷団地中,ja-Hrkt,しんやしきだんちなか
新屋敷団地,ja,新屋敷団地
新屋敷団地,ja-Hrkt,しんやしきだんち
中井南,ja,中井南
中井南,ja-Hrkt,なかいみなみ
藤の里,ja,藤の里
藤の里,ja-Hrkt,ふじのさと
雄町西,ja,雄町西
雄町西,ja-Hrkt,おまちにし
雄町中,ja,雄町中
雄町中,ja-Hrkt,おまちなか
雄町,ja,雄町
雄町,ja-Hrkt,おまち
雄町東,ja,雄町東
雄町東,ja-Hrkt,おまちひがし
コウリョー前,ja,コウリョー前
コウリョー前,ja-Hrkt,こうりょーまえ
東岡山駅前,ja,東岡山駅前
東岡山駅前,ja-Hrkt,ひがしおかやまえきまえ
前土田,ja,前土田
前土田,ja-Hrkt,まえつちだ
ろう学校前,ja,ろう学校前
ろう学校前,ja-Hrkt,ろうがっこうまえ
岡山東支援学校口,ja,岡山東支援学校口
岡山東支援学校口,ja-Hrkt,おかやまひがししえんがっこうぐち
土田東,ja,土田東
土田東,ja-Hrkt,つちだひがし
土田,ja,土田
土田,ja-Hrkt,つちだ
四御神南(東岡山),ja,四御神南(東岡山)
四御神南(東岡山),ja-Hrkt,しのごぜみなみ
浜（岡山プラザホテル前）,ja,浜（岡山プラザホテル前）
浜（岡山プラザホテル前）,ja-Hrkt,はま
岡山中央警察署前,ja,岡山中央警察署前
岡山中央警察署前,ja-Hrkt,おかやまちゅうおうけいさつしょまえ
岡山市中区役所前,ja,岡山市中区役所前
岡山市中区役所前,ja-Hrkt,おかやましなかくやくしょまえ
OHKハウジングパーク前,ja,OHKハウジングパーク前
OHKハウジングパーク前,ja-Hrkt,おーえいちけーはうじんぐぱーくまえ
林病院入口,ja,林病院入口
林病院入口,ja-Hrkt,はやしびょういんいりぐち
エディオン東川原店前,ja,エディオン東川原店前
エディオン東川原店前,ja-Hrkt,えでぃおんひがしがわらてんまえ
コープ東川原店前,ja,コープ東川原店前
コープ東川原店前,ja-Hrkt,こーぷひがしがわらてんまえ
ジョイフル東川原店前,ja,ジョイフル東川原店前
ジョイフル東川原店前,ja-Hrkt,じょいふるひがしがわらてんまえ
西川原,ja,西川原
西川原,ja-Hrkt,にしがわら
岡山ハートクリニック前,ja,岡山ハートクリニック前
岡山ハートクリニック前,ja-Hrkt,おかやまはーとくりにっくまえ
新中島竹田橋,ja,新中島竹田橋
新中島竹田橋,ja-Hrkt,しんなかしまたけだばし
瀬戸線平島,ja,瀬戸線平島
瀬戸線平島,ja-Hrkt,せとせんひらじま
東平島下,ja,東平島下
東平島下,ja-Hrkt,ひがしひらじましも
パナソニック前,ja,パナソニック前
パナソニック前,ja-Hrkt,ぱなそにっくまえ
東平島,ja,東平島
東平島,ja-Hrkt,ひがしひらじま
東平島上,ja,東平島上
東平島上,ja-Hrkt,ひがしひらじまかみ
砂場,ja,砂場
砂場,ja-Hrkt,すなば
沖下,ja,沖下
沖下,ja-Hrkt,おきしも
瀬戸南高,ja,瀬戸南高
瀬戸南高,ja-Hrkt,せとみなみこう
沖,ja,沖
沖,ja-Hrkt,おき
竹久工業前,ja,竹久工業前
竹久工業前,ja-Hrkt,たけひさこうぎょうまえ
瀬戸西,ja,瀬戸西
瀬戸西,ja-Hrkt,せとにし
瀬戸駅前,ja,瀬戸駅前
瀬戸駅前,ja-Hrkt,せとえきまえ
瀬戸駅,ja,瀬戸駅
瀬戸駅,ja-Hrkt,せとえき
赤磐警察署前,ja,赤磐警察署前
赤磐警察署前,ja-Hrkt,あかいわけいさつしょまえ
瀬戸郵便局前,ja,瀬戸郵便局前
瀬戸郵便局前,ja-Hrkt,せとゆうびんきょくまえ
瀬戸橋,ja,瀬戸橋
瀬戸橋,ja-Hrkt,せとばし
舟廻,ja,舟廻
舟廻,ja-Hrkt,せんまる
立川,ja,立川
立川,ja-Hrkt,たつかわ
医師会病院前,ja,医師会病院前
医師会病院前,ja-Hrkt,いしかいびょういんまえ
瀬戸線下市,ja,瀬戸線下市
瀬戸線下市,ja-Hrkt,せとせんしもいち
ネオポリス線下市,ja,ネオポリス線下市
ネオポリス線下市,ja-Hrkt,ねおぽりすせんしもいち
赤磐市役所前,ja,赤磐市役所前
赤磐市役所前,ja-Hrkt,あかいわしやくしょまえ
高屋（ネオ）,ja,高屋（ネオ）
高屋（ネオ）,ja-Hrkt,たかや
高屋上,ja,高屋上
高屋上,ja-Hrkt,たかやかみ
沼田,ja,沼田
沼田,ja-Hrkt,ぬた
二井口,ja,二井口
二井口,ja-Hrkt,ふたいぐち
日古木・中島口,ja,日古木・中島口
日古木・中島口,ja-Hrkt,ひこぎなかしまぐち
桜が丘西一丁目,ja,桜が丘西一丁目
桜が丘西一丁目,ja-Hrkt,さくらがおかにしいっちょうめ
桜が丘西一丁目上,ja,桜が丘西一丁目上
桜が丘西一丁目上,ja-Hrkt,さくらがおかにしいっちょうめかみ
桜が丘西二丁目,ja,桜が丘西二丁目
桜が丘西二丁目,ja-Hrkt,さくらがおかにしにちょうめ
桜が丘西三丁目,ja,桜が丘西三丁目
桜が丘西三丁目,ja-Hrkt,さくらがおかにしさんちょうめ
桜が丘西三丁目上,ja,桜が丘西三丁目上
桜が丘西三丁目上,ja-Hrkt,さくらがおかにしさんちょうめかみ
桜が丘西五丁目,ja,桜が丘西五丁目
桜が丘西五丁目,ja-Hrkt,さくらがおかにしごちょうめ
桜が丘西六丁目,ja,桜が丘西六丁目
桜が丘西六丁目,ja-Hrkt,さくらがおかにしろくちょうめ
桜が丘中央,ja,桜が丘中央
桜が丘中央,ja-Hrkt,さくらがおかちゅうおう
桜が丘東五丁目,ja,桜が丘東五丁目
桜が丘東五丁目,ja-Hrkt,さくらがおかひがしごちょうめ
桜が丘東六丁目,ja,桜が丘東六丁目
桜が丘東六丁目,ja-Hrkt,さくらがおかひがしろくちょうめ
桜が丘東六丁目上,ja,桜が丘東六丁目上
桜が丘東六丁目上,ja-Hrkt,さくらがおかひがしろくちょうめかみ
保育園前,ja,保育園前
保育園前,ja-Hrkt,ほいくえんまえ
野間,ja,野間
野間,ja-Hrkt,のま
桜が丘西10丁目東,ja,桜が丘西10丁目東
桜が丘西10丁目東,ja-Hrkt,さくらがおかにしじゅっちょうめひがし
桜が丘西10丁目中,ja,桜が丘西10丁目中
桜が丘西10丁目中,ja-Hrkt,さくらがおかにしじゅっちょうめなか
桜が丘西10丁目西,ja,桜が丘西10丁目西
桜が丘西10丁目西,ja-Hrkt,さくらがおかにしじゅっちょうめにし
桜が丘西９丁目東,ja,桜が丘西９丁目東
桜が丘西９丁目東,ja-Hrkt,さくらがおかにしきゅうちょうめひがし
桜が丘西９丁目中,ja,桜が丘西９丁目中
桜が丘西９丁目中,ja-Hrkt,さくらがおかにしきゅうちょうめなか
桜が丘西９丁目西,ja,桜が丘西９丁目西
桜が丘西９丁目西,ja-Hrkt,さくらがおかにしきゅうちょうめにし
桜が丘運動公園口,ja,桜が丘運動公園口
桜が丘運動公園口,ja-Hrkt,さくらがおかうんどうこうえんぐち
上市,ja,上市
上市,ja-Hrkt,かみいち
正崎下,ja,正崎下
正崎下,ja-Hrkt,しょうざきしも
正崎,ja,正崎
正崎,ja-Hrkt,しょうざき
五日市下,ja,五日市下
五日市下,ja-Hrkt,いつかいちしも
五日市上,ja,五日市上
五日市上,ja-Hrkt,いつかいちかみ
農業試験場口,ja,農業試験場口
農業試験場口,ja-Hrkt,のうぎょうしけんじょうぐち
東窪田,ja,東窪田
東窪田,ja-Hrkt,ひがしくぼた
窪田,ja,窪田
窪田,ja-Hrkt,くぼた
窪田上,ja,窪田上
窪田上,ja-Hrkt,くぼたかみ
町苅田下,ja,町苅田下
町苅田下,ja-Hrkt,まちかんだしも
町苅田,ja,町苅田
町苅田,ja-Hrkt,まちかんだ
赤坂支所前,ja,赤坂支所前
赤坂支所前,ja-Hrkt,あかさかししょまえ
赤坂中学校前,ja,赤坂中学校前
赤坂中学校前,ja-Hrkt,あかさかちゅうがっこうまえ
軽部住宅前,ja,軽部住宅前
軽部住宅前,ja-Hrkt,かるべじゅうたくまえ
軽部下,ja,軽部下
軽部下,ja-Hrkt,かるべしも
軽部上,ja,軽部上
軽部上,ja-Hrkt,かるべかみ
多賀下,ja,多賀下
多賀下,ja-Hrkt,たがしも
多賀上,ja,多賀上
多賀上,ja-Hrkt,たがかみ
出屋,ja,出屋
出屋,ja-Hrkt,いでや
出屋上,ja,出屋上
出屋上,ja-Hrkt,いでやかみ
坂辺,ja,坂辺
坂辺,ja-Hrkt,さかなべ
坂辺上,ja,坂辺上
坂辺上,ja-Hrkt,さかなべかみ
合田下,ja,合田下
合田下,ja-Hrkt,あいだしも
合田,ja,合田
合田,ja-Hrkt,あいだ
合田上,ja,合田上
合田上,ja-Hrkt,あいだかみ
仁堀下,ja,仁堀下
仁堀下,ja-Hrkt,にぼりしも
仁堀,ja,仁堀
仁堀,ja-Hrkt,にぼり
仁堀局前,ja,仁堀局前
仁堀局前,ja-Hrkt,にぼりきょくまえ
仁堀上,ja,仁堀上
仁堀上,ja-Hrkt,にぼりかみ
菊ケ峠,ja,菊ケ峠
菊ケ峠,ja-Hrkt,きくがとうげ
塩木上,ja,塩木上
塩木上,ja-Hrkt,しおぎかみ
塩木中,ja,塩木中
塩木中,ja-Hrkt,しおぎなか
塩木下,ja,塩木下
塩木下,ja-Hrkt,しおぎしも
湯免温泉,ja,湯免温泉
湯免温泉,ja-Hrkt,ゆめおんせん
佐伯北,ja,佐伯北
佐伯北,ja-Hrkt,さえききた
吉井総合センター,ja,吉井総合センター
吉井総合センター,ja-Hrkt,よしいそうごうせんたー
高田,ja,高田
高田,ja-Hrkt,たかだ
稲蒔,ja,稲蒔
稲蒔,ja-Hrkt,いなまき
福田住宅前,ja,福田住宅前
福田住宅前,ja-Hrkt,ふくだじゅうたくまえ
福田,ja,福田
福田,ja-Hrkt,ふくだ
山方口,ja,山方口
山方口,ja-Hrkt,やまがたぐち
吉井中学校前,ja,吉井中学校前
吉井中学校前,ja-Hrkt,よしいちゅうがっこうまえ
周匝,ja,周匝
周匝,ja-Hrkt,すさい
周匝上,ja,周匝上
周匝上,ja-Hrkt,すさいかみ
落合,ja,落合
落合,ja-Hrkt,おちあい
高下,ja,高下
高下,ja-Hrkt,こうげ
奥,ja,奥
奥,ja-Hrkt,おく
奥上,ja,奥上
奥上,ja-Hrkt,おくかみ
天神,ja,天神
天神,ja-Hrkt,てんじん
王子橋,ja,王子橋
王子橋,ja-Hrkt,おうじばし
福本下,ja,福本下
福本下,ja-Hrkt,ふくもとしも
福本,ja,福本
福本,ja-Hrkt,ふくもと
小原,ja,小原
小原,ja-Hrkt,こばら
椿谷,ja,椿谷
椿谷,ja-Hrkt,つばきだに
尾谷,ja,尾谷
尾谷,ja-Hrkt,おたに
尾原,ja,尾原
尾原,ja-Hrkt,おばら
尾原上,ja,尾原上
尾原上,ja-Hrkt,おばらかみ
樫村,ja,樫村
樫村,ja-Hrkt,かしむら
下倉敷,ja,下倉敷
下倉敷,ja-Hrkt,しもくらしき
畑沖下,ja,畑沖下
畑沖下,ja-Hrkt,はたおきしも
畑沖,ja,畑沖
畑沖,ja-Hrkt,はたおき
鷺湯橋,ja,鷺湯橋
鷺湯橋,ja-Hrkt,さぎゆばし
湯郷温泉下,ja,湯郷温泉下
湯郷温泉下,ja-Hrkt,ゆのごうおんせんしも
湯郷温泉上,ja,湯郷温泉上
湯郷温泉上,ja-Hrkt,ゆのごうおんせんかみ
美作第一小学校前,ja,美作第一小学校前
美作第一小学校前,ja-Hrkt,みまさかだいいちしょうがっこうまえ
林野バスセンター,ja,林野バスセンター
林野バスセンター,ja-Hrkt,はやしのばすせんたー
本町,ja,本町
本町,ja-Hrkt,ほんまち
栄町,ja,栄町
栄町,ja-Hrkt,さかえまち
林野駅前,ja,林野駅前
林野駅前,ja-Hrkt,はやしのえきまえ
新道立川口,ja,新道立川口
新道立川口,ja-Hrkt,しんどうたつかわぐち
新道河本西,ja,新道河本西
新道河本西,ja-Hrkt,しんどうこうもとにし
新道河本,ja,新道河本
新道河本,ja-Hrkt,しんどうこうもと
新道山陽マルナカ前,ja,新道山陽マルナカ前
新道山陽マルナカ前,ja-Hrkt,しんどうさんようまるなかまえ
新道赤磐市役所入口,ja,新道赤磐市役所入口
新道赤磐市役所入口,ja-Hrkt,しんどうあかいわしやくしょいりぐち
新道高屋,ja,新道高屋
新道高屋,ja-Hrkt,しんどうたかや
新道高屋上,ja,新道高屋上
新道高屋上,ja-Hrkt,しんどうたかやかみ
新道沼田,ja,新道沼田
新道沼田,ja-Hrkt,しんどうぬた
新道二井口,ja,新道二井口
