trans_id,lang,translation
木華佐久邪比め神社入口,ja-Hira,このはなさくやひめじんじゃ
児島縫製センター入口,ja,児島縫製センター入口
児島縫製センター入口,ja-Hira,こじまほうせいせんたーいりぐち
茶屋住宅前,ja,茶屋住宅前
茶屋住宅前,ja-Hira,ちゃやじゅうたくまえ
茶屋,ja,茶屋
茶屋,ja-Hira,ちゃや
市立短大・翔南高校入口,ja,市立短大・翔南高校入口
市立短大・翔南高校入口,ja-Hira,しりつたんだい・しょうなんこうこういりぐち
滑口,ja,滑口
滑口,ja-Hira,なめらぐち
市立短大・翔南高校前,ja,市立短大・翔南高校前
市立短大・翔南高校前,ja-Hira,しりつたんだい・しょうなんこうこうまえ
上久保,ja,上久保
上久保,ja-Hira,かみくぼ
久保,ja,久保
久保,ja-Hira,くぼ
ＪＲ上之町駅前,ja,JR上之町駅前
ＪＲ上之町駅前,ja-Hira,じぇーあーるかみのちょうえきまえ
安田口,ja,安田口
安田口,ja-Hira,やすだぐち
内田口,ja,内田口
内田口,ja-Hira,うちだぐち
琴浦西小学校前,ja,琴浦西小学校前
琴浦西小学校前,ja-Hira,ことうらにししょうがっこうまえ
岡熊,ja,岡熊
岡熊,ja-Hira,おかぐま
下之町鴻八幡宮前,ja,下之町鴻八幡宮前
下之町鴻八幡宮前,ja-Hira,しものまちこうはちばんぐうまえ
下之町南,ja,下之町南
下之町南,ja-Hira,しものちょうみなみ
新常盤橋,ja,新常盤橋
新常盤橋,ja-Hira,しんときわばし
青陵高等学校西,ja,青陵高等学校西
青陵高等学校西,ja-Hira,せいりょうこうとうがっこうにし
倉敷市民会館前,ja,倉敷市民会館前
倉敷市民会館前,ja-Hira,くらしきしみんかいかんまえ
倉敷芸文館東,ja,倉敷芸文館東
倉敷芸文館東,ja-Hira,くらしきげいぶんかんひがし
倉敷商業高校東,ja,倉敷商業高校東
倉敷商業高校東,ja-Hira,くらしきしょうぎょうこうこうひがし
倉敷市役所東,ja,倉敷市役所東
倉敷市役所東,ja-Hira,くらしきしやくしょひがし
上名田,ja,上名田
上名田,ja-Hira,かみなだ
東新田,ja,東新田
東新田,ja-Hira,ひがししんでん
小瀬戸,ja,小瀬戸
小瀬戸,ja-Hira,こせと
倉敷市ふじ園・倉敷児童館前,ja,倉敷市ふじ園・倉敷児童館前
倉敷市ふじ園・倉敷児童館前,ja-Hira,くらしきしふじえん・くらしきじどうかん
岡山学院大学・短期大学前,ja,岡山学院大学・短期大学前
岡山学院大学・短期大学前,ja-Hira,おかやまがくいんだいがく・たんきだいがくまえ
有城,ja,有城
有城,ja-Hira,あるき
高速道下,ja,高速道下
高速道下,ja-Hira,こうそくどうした
天城郵便局前,ja,天城郵便局前
天城郵便局前,ja-Hira,あまきゆうびんきょくまえ
天城中学高校北入口,ja,天城中学高校北入口
天城中学高校北入口,ja-Hira,あまきちゅうがくこうこうきたいりぐち
天城中学高校南入口,ja,天城中学高校南入口
天城中学高校南入口,ja-Hira,あまきちゅうがくこうこうみなみいりぐち
藤戸,ja,藤戸
藤戸,ja-Hira,ふじと
東新町,ja,東新町
東新町,ja-Hira,ひがししんまち
塩干,ja,塩干
塩干,ja-Hira,ひぼし
串田,ja,串田
串田,ja-Hira,くした
串田橋,ja,串田橋
串田橋,ja-Hira,くしたばし
帆干谷,ja,帆干谷
帆干谷,ja-Hira,ほうじのたに
ニシナ栁田店前,ja,ニシナ栁田店前
ニシナ栁田店前,ja-Hira,にしなやないだてんまえ
新児島団地入口,ja,新児島団地入口
新児島団地入口,ja-Hira,しんこじまだんちいりぐち
田嶋内科前,ja,田嶋内科前
田嶋内科前,ja-Hira,たじまないかまえ
小川七丁目,ja,小川七丁目
小川七丁目,ja-Hira,おがわななちょうめ
井戸,ja,井戸
井戸,ja-Hira,いど
倉敷鷲羽高校入口,ja,倉敷鷲羽高校入口
倉敷鷲羽高校入口,ja-Hira,くらしきわしゅうこうこういりぐち
新田,ja,新田
新田,ja-Hira,しんでん
八軒屋北,ja,八軒屋北
八軒屋北,ja-Hira,はちけんやきた
浦田駅前,ja,浦田駅前
浦田駅前,ja-Hira,うらだえきまえ
浦田口,ja,浦田口
浦田口,ja-Hira,うらだぐち
一文字,ja,一文字
一文字,ja-Hira,いちもんじ
北畝七丁目,ja,北畝七丁目
北畝七丁目,ja-Hira,きたせななちょうめ
北畝,ja,北畝
北畝,ja-Hira,きたせ
ﾗｲﾌﾊﾟｰｸ倉敷西入口,ja,ﾗｲﾌﾊﾟｰｸ倉敷西入口
ﾗｲﾌﾊﾟｰｸ倉敷西入口,ja-Hira,らいふぱーくくらしきにしいりぐち
福田南中学校前,ja,福田南中学校前
福田南中学校前,ja-Hira,ふくだみなみちゅうがっこうまえ
倉敷広済クリニック前,ja,倉敷広済クリニック前
倉敷広済クリニック前,ja-Hira,くらしきこうさいくりにっくまえ
福田運動公園前,ja,福田運動公園前
福田運動公園前,ja-Hira,ふくだうんどうこうえんまえ
樋の輪,ja,樋の輪
樋の輪,ja-Hira,ひのわ
新高橋,ja,新高橋
新高橋,ja-Hira,しんたかばし
高橋,ja,高橋
高橋,ja-Hira,たかばし
呼松,ja,呼松
呼松,ja-Hira,よびまつ
小南,ja,小南
小南,ja-Hira,こみなみ
水尻,ja,水尻
水尻,ja-Hira,みしり
宇野津,ja,宇野津
宇野津,ja-Hira,うのつ
宇頭間,ja,宇頭間
宇頭間,ja-Hira,うとうま
金浜,ja,金浜
金浜,ja-Hira,かなはま
Ｃ地区旭化成前,ja,C地区旭化成前
Ｃ地区旭化成前,ja-Hira,しーちくあさひかせいまえ
塩生浜,ja,塩生浜
塩生浜,ja-Hira,しおなすはま
塩生,ja,塩生
塩生,ja-Hira,しおなす
塩生中央口,ja,塩生中央口
塩生中央口,ja-Hira,しおなすちゅうおうぐち
本荘いこいの家前,ja,本荘いこいの家前
本荘いこいの家前,ja-Hira,ほんじょういこいのいえまえ
通生辻浜,ja,通生辻浜
通生辻浜,ja-Hira,かよおつじはま
通生港口,ja,通生港口
通生港口,ja-Hira,かよおみなとぐち
大池,ja,大池
大池,ja-Hira,おおいけ
松池入口,ja,松池入口
松池入口,ja-Hira,まついけいりぐち
わたなべ生鮮館菰池店前,ja,わたなべ生鮮館菰池店前
わたなべ生鮮館菰池店前,ja-Hira,わたなべせいせんかんこもいけてんまえ
赤崎小学校前,ja,赤崎小学校前
赤崎小学校前,ja-Hira,あかさきしょうがっこうまえ
赤崎入口,ja,赤崎入口
赤崎入口,ja-Hira,あかさきいりぐち
赤崎,ja,赤崎
赤崎,ja-Hira,あかさき
味野元町,ja,味野元町
味野元町,ja-Hira,あじのもとまち
南塩生,ja,南塩生
南塩生,ja-Hira,みなみしおなす
通生,ja,通生
通生,ja-Hira,かよお
古新田,ja,古新田
古新田,ja-Hira,こしんでん
古新田南,ja,古新田南
古新田南,ja-Hira,こしんでんみなみ
ライフパーク倉敷入口,ja,ライフパーク倉敷入口
ライフパーク倉敷入口,ja-Hira,らいふぱーくくらしきいりぐち
福田公園北門前,ja,福田公園北門前
