route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id
A07上,平日,平日_17時21分_系統A07上,天満屋（汗入 経由）,,D80,A07上
D19上,平日,平日_17時25分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
C01上,平日,平日_17時25分_系統C01上,倉敷駅前,,62,C01上
S05上,平日,平日_17時25分_系統S05上,ＪＲ児島駅,,85,S05上
J21,平日,平日_17時30分_系統J21,ＪＲ児島駅,,S1,J21
A02下,平日,平日_17時35分_系統A02下,ＪＲ児島駅（岡山駅 経由）,,D80,A02下
C01下,平日,平日_17時40分_系統C01下,ＪＲ児島駅,,62,C01下
N22下,平日,平日_17時40分_系統N22下,中庄駅（倉敷駅前 経由）,,77,N22下
C01上,平日,平日_17時45分_系統C01上,倉敷駅前,,62,C01上
D19上,平日,平日_17時45分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
I3上,平日,平日_17時45分_系統I3上,ＪＲ児島駅,,82,I3上
E06上,平日,平日_17時50分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
D19下,平日,平日_17時50分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
E06下,平日,平日_17時50分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01下,平日,平日_18時00分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,平日,平日_18時05分_系統C01上,倉敷駅前,,62,C01上
C01下,平日,平日_18時05分_系統C01下,ＪＲ児島駅,,62,C01下
D1下,平日,平日_18時10分_系統D1下,ＪＲ児島駅,,55,D1下
J12下,平日,平日_18時10分_系統J12下,下津井,,84,J12下
I3下,平日,平日_18時10分_系統I3下,王子ヶ岳登山口,,82,I3下
D19下,平日,平日_18時15分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
E06下,平日,平日_18時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D19上,平日,平日_18時20分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
E06上,平日,平日_18時20分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
C01上,平日,平日_18時25分_系統C01上,倉敷駅前,,62,C01上
A21下001,平日,平日_18時30分_系統A21下001,汗入（岡山駅 経由）,,D80,A21下001
C01下,平日,平日_18時35分_系統C01下,ＪＲ児島駅,,62,C01下
J12上,平日,平日_18時35分_系統J12上,ＪＲ児島駅,,84,J12上
I3上,平日,平日_18時38分_系統I3上,ＪＲ児島駅,,82,I3上
E06上,平日,平日_18時40分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
D19下,平日,平日_18時40分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
C01上,平日,平日_18時50分_系統C01上,倉敷駅前,,62,C01上
E06下,平日,平日_18時50分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
A07下,平日,平日_19時00分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
C01下,平日,平日_19時00分_系統C01下,ＪＲ児島駅,,62,C01下
I3下,平日,平日_19時13分_系統I3下,王子ヶ岳登山口,,82,I3下
C01上,平日,平日_19時20分_系統C01上,倉敷駅前,,62,C01上
D19下,平日,平日_19時20分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
E06下,平日,平日_19時25分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
E06上,平日,平日_19時25分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
D19上,平日,平日_19時37分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
I3上,平日,平日_19時38分_系統I3上,ＪＲ児島駅,,82,I3上
A21上001,平日,平日_20時00分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
E06下,平日,平日_20時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01下,平日,平日_20時00分_系統C01下,ＪＲ児島駅,,62,C01下
A02上,平日,平日_20時02分_系統A02上,天満屋（下電興除車庫前 経由）,,D80,A02上
D16下,平日,平日_20時10分_系統D16下,茶屋町駅前,,72,D16下
C01上,平日,平日_20時15分_系統C01上,倉敷駅前,,62,C01上
E06上,平日,平日_20時15分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
E06下,平日,平日_20時30分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
A07下,平日,平日_20時40分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
D16上,平日,平日_20時45分_系統D16上,倉敷駅前,,72,D16上
C01下,平日,平日_20時50分_系統C01下,ＪＲ児島駅,,62,C01下
D19下,平日,平日_21時10分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
E06下,平日,平日_21時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
A07下,平日,平日_21時55分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
E06下,土曜,土曜_06時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,土曜,土曜_06時25分_系統C01上,倉敷駅前,,62,C01上
C01下,土曜,土曜_06時25分_系統C01下,ＪＲ児島駅,,62,C01下
A21上001,土曜,土曜_06時30分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
E06上,土曜,土曜_06時30分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
S05下,土曜,土曜_06時40分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
C01上,土曜,土曜_06時45分_系統C01上,倉敷駅前,,62,C01上
A07上,土曜,土曜_06時51分_系統A07上,天満屋（汗入 経由）,,D80,A07上
I3下,土曜,土曜_06時55分_系統I3下,王子ヶ岳登山口,,82,I3下
C01下,土曜,土曜_06時55分_系統C01下,ＪＲ児島駅,,62,C01下
D19上,土曜,土曜_06時55分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
E06上,土曜,土曜_06時55分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
E06下,土曜,土曜_07時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,土曜,土曜_07時05分_系統C01上,倉敷駅前,,62,C01上
D24上,土曜,土曜_07時15分_系統D24上,倉敷成人病センター前（茶屋町駅前 経由）,,73,D24上
C01下,土曜,土曜_07時15分_系統C01下,ＪＲ児島駅,,62,C01下
S05上,土曜,土曜_07時15分_系統S05上,ＪＲ児島駅,,85,S05上
E06上,土曜,土曜_07時20分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A02下,土曜,土曜_07時20分_系統A02下,ＪＲ児島駅（岡山駅 経由）,,D80,A02下
I3上,土曜,土曜_07時20分_系統I3上,ＪＲ児島駅,,82,I3上
D1上,土曜,土曜_07時25分_系統D1上,倉敷駅前,,55,D1上
E06下,土曜,土曜_07時25分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,土曜,土曜_07時30分_系統C01上,倉敷駅前,,62,C01上
D1上,土曜,土曜_07時35分_系統D1上,倉敷駅前,,55,D1上
A07上,土曜,土曜_07時41分_系統A07上,天満屋（汗入 経由）,,D80,A07上
D16下,土曜,土曜_07時45分_系統D16下,茶屋町駅前,,72,D16下
E06下,土曜,土曜_07時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
I3下,土曜,土曜_07時45分_系統I3下,王子ヶ岳登山口,,82,I3下
C01下,土曜,土曜_07時45分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,土曜,土曜_07時50分_系統C01上,倉敷駅前,,62,C01上
S05下,土曜,土曜_07時50分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
J19,土曜,土曜_07時50分_系統J19,ＪＲ児島駅,,F1,J19
D19上,土曜,土曜_07時52分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
E06上,土曜,土曜_07時55分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A07下,土曜,土曜_08時00分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
C01下,土曜,土曜_08時10分_系統C01下,ＪＲ児島駅,,62,C01下
I3上,土曜,土曜_08時15分_系統I3上,ＪＲ児島駅,,82,I3上
I3下,土曜,土曜_08時15分_系統I3下,王子ヶ岳登山口,,82,I3下
D16下,土曜,土曜_08時15分_系統D16下,茶屋町駅前,,72,D16下
E06下,土曜,土曜_08時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
N23下,土曜,土曜_08時20分_系統N23下,中庄駅（倉敷高校前 経由）,,78,N23下
D22上,土曜,土曜_08時23分_系統D22上,倉敷成人病センター前（倉敷駅前 経由）,,76,D22上
E06上,土曜,土曜_08時25分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
C01下,土曜,土曜_08時25分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,土曜,土曜_08時25分_系統C01上,倉敷駅前,,62,C01上
J21,土曜,土曜_08時30分_系統J21,ＪＲ児島駅,,S1,J21
S05上,土曜,土曜_08時30分_系統S05上,ＪＲ児島駅,,85,S05上
A21下001,土曜,土曜_08時45分_系統A21下001,汗入（岡山駅 経由）,,D80,A21下001
E06下,土曜,土曜_08時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D19下,土曜,土曜_08時45分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
I3上,土曜,土曜_08時45分_系統I3上,ＪＲ児島駅,,82,I3上
D16上,土曜,土曜_08時48分_系統D16上,倉敷駅前,,72,D16上
J19,土曜,土曜_08時50分_系統J19,ＪＲ児島駅,,F1,J19
C01上,土曜,土曜_08時50分_系統C01上,倉敷駅前,,62,C01上
E06上,土曜,土曜_08時55分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
K23上,土曜,土曜_08時58分_系統K23上,倉敷成人病センター前（倉敷高校前 経由）,,77,K23上
A21上001,土曜,土曜_09時00分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
C01下,土曜,土曜_09時00分_系統C01下,ＪＲ児島駅,,62,C01下
I3下,土曜,土曜_09時10分_系統I3下,王子ヶ岳登山口,,82,I3下
S05下,土曜,土曜_09時15分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
