trans_id,lang,translation
牟佐下,ja-Hira,むさしも
牟佐上,ja,牟佐上
牟佐上,ja-Hira,むさかみ
岡山東部脳神経外科病院前,ja,岡山東部脳神経外科病院前
岡山東部脳神経外科病院前,ja-Hira,おかやまとうぶのうしんけいげか
黒田団地,ja,黒田団地
黒田団地,ja-Hira,くろだだんち
馬屋下,ja,馬屋下
馬屋下,ja-Hira,まやしも
馬屋,ja,馬屋
馬屋,ja-Hira,まや
馬屋,en,Maya
新道穂崎下,ja,新道穂崎下
新道穂崎下,ja-Hira,しんどうほさきしも
岩田,ja,岩田
岩田,ja-Hira,いわた
新道穂崎,ja,新道穂崎
新道穂崎,ja-Hira,しんどうほさき
駅前町,ja,駅前町
駅前町,ja-Hira,えきまえちょう
裁判所前,ja,裁判所前
裁判所前,ja-Hira,さいばんしょまえ
白鷺団地,ja,白鷺団地
白鷺団地,ja-Hira,しらさぎだんち
山陽団地西１番,ja,山陽団地西1番
山陽団地西１番,ja-Hira,さんようだんちにしいちばん
山陽団地西２番,ja,山陽団地西2番
山陽団地西２番,ja-Hira,さんようだんちにしにばん
山陽団地西３番,ja,山陽団地西3番
山陽団地西３番,ja-Hira,さんようだんちにしさんばん
足王神社口,ja,足王神社口
足王神社口,ja-Hira,あしおうじんじゃぐち
山陽団地西４番,ja,山陽団地西4番
山陽団地西４番,ja-Hira,さんようだんちにしよんばん
山陽団地西５番,ja,山陽団地西5番
山陽団地西５番,ja-Hira,さんようだんちにしごばん
山陽団地西６番,ja,山陽団地西6番
山陽団地西６番,ja-Hira,さんようだんちにしろくばん
山陽団地西７番,ja,山陽団地西7番
山陽団地西７番,ja-Hira,さんようだんちにしななばん
山陽団地東,ja,山陽団地東
山陽団地東,ja-Hira,さんようだんちひがし
老人福祉センター,ja,老人福祉センター
老人福祉センター,ja-Hira,ろうじんふくしせんたー
下市上,ja,下市上
下市上,ja-Hira,しもいちかみ
就実高校中学校前,ja,就実高校中学校前
就実高校中学校前,ja-Hira,しゅうじつこうこうちゅうがっこうまえ
美術館前,ja,美術館前
美術館前,ja-Hira,びじゅつかんまえ
弓之町,ja,弓之町
弓之町,ja-Hira,ゆみのちょう
中島,ja,中島
中島,ja-Hira,なかしま
中島上,ja,中島上
中島上,ja-Hira,なかしまかみ
高島団地,ja,高島団地
高島団地,ja-Hira,たかしまだんち
保育所前,ja,保育所前
保育所前,ja-Hira,ほいくしょまえ
児童公園前,ja,児童公園前
児童公園前,ja-Hira,じどうこうえんまえ
新屋敷団地西,ja,新屋敷団地西
新屋敷団地西,ja-Hira,しんやしきだんちにし
新屋敷団地中,ja,新屋敷団地中
新屋敷団地中,ja-Hira,しんやしきだんちなか
新屋敷団地,ja,新屋敷団地
新屋敷団地,ja-Hira,しんやしきだんち
中井南,ja,中井南
中井南,ja-Hira,なかいみなみ
藤の里,ja,藤の里
藤の里,ja-Hira,ふじのさと
雄町西,ja,雄町西
雄町西,ja-Hira,おまちにし
雄町中,ja,雄町中
雄町中,ja-Hira,おまちなか
雄町,ja,雄町
雄町,ja-Hira,おまち
雄町東,ja,雄町東
雄町東,ja-Hira,おまちひがし
コウリョー前,ja,コウリョー前
コウリョー前,ja-Hira,こうりょーまえ
東岡山駅前,ja,東岡山駅前
東岡山駅前,ja-Hira,ひがしおかやまえきまえ
前土田,ja,前土田
前土田,ja-Hira,まえつちだ
ろう学校前,ja,ろう学校前
ろう学校前,ja-Hira,ろうがっこうまえ
岡山東支援学校口,ja,岡山東支援学校口
岡山東支援学校口,ja-Hira,おかやまひがししえんがっこうぐち
土田東,ja,土田東
土田東,ja-Hira,つちだひがし
土田,ja,土田
土田,ja-Hira,つちだ
四御神南(東岡山),ja,四御神南(東岡山)
四御神南(東岡山),ja-Hira,しのごぜみなみ
浜（岡山プラザホテル前）,ja,浜（岡山プラザホテル前）
浜（岡山プラザホテル前）,ja-Hira,はま
岡山中央警察署前,ja,岡山中央警察署前
岡山中央警察署前,ja-Hira,おかやまちゅうおうけいさつしょまえ
岡山市中区役所前,ja,岡山市中区役所前
岡山市中区役所前,ja-Hira,おかやましなかくやくしょまえ
OHKハウジングパーク前,ja,OHKハウジングパーク前
OHKハウジングパーク前,ja-Hira,おーえいちけーはうじんぐぱーくまえ
林病院入口,ja,林病院入口
林病院入口,ja-Hira,はやしびょういんいりぐち
エディオン東川原店前,ja,エディオン東川原店前
エディオン東川原店前,ja-Hira,えでぃおんひがしがわらてんまえ
コープ東川原店前,ja,コープ東川原店前
コープ東川原店前,ja-Hira,こーぷひがしがわらてんまえ
ジョイフル東川原店前,ja,ジョイフル東川原店前
ジョイフル東川原店前,ja-Hira,じょいふるひがしがわらてんまえ
西川原,ja,西川原
西川原,ja-Hira,にしがわら
岡山ハートクリニック前,ja,岡山ハートクリニック前
岡山ハートクリニック前,ja-Hira,おかやまはーとくりにっくまえ
新中島竹田橋,ja,新中島竹田橋
新中島竹田橋,ja-Hira,しんなかしまたけだばし
瀬戸線平島,ja,瀬戸線平島
瀬戸線平島,ja-Hira,せとせんひらじま
東平島下,ja,東平島下
東平島下,ja-Hira,ひがしひらじましも
パナソニック前,ja,パナソニック前
パナソニック前,ja-Hira,ぱなそにっくまえ
東平島,ja,東平島
東平島,ja-Hira,ひがしひらじま
東平島上,ja,東平島上
東平島上,ja-Hira,ひがしひらじまかみ
砂場,ja,砂場
砂場,ja-Hira,すなば
沖下,ja,沖下
沖下,ja-Hira,おきしも
瀬戸南高,ja,瀬戸南高
