table_name,field_name,field_value,language,translation
stops,stop_name,瀬戸西,ja-Hrkt,せとにし
stops,stop_name,瀬戸駅前,ja-Hrkt,せとえきまえ
stops,stop_name,瀬戸駅,ja-Hrkt,せとえき
stops,stop_name,赤磐警察署前,ja-Hrkt,あかいわけいさつしょまえ
stops,stop_name,瀬戸郵便局前,ja-Hrkt,せとゆうびんきょくまえ
stops,stop_name,瀬戸橋,ja-Hrkt,せとばし
stops,stop_name,舟廻,ja-Hrkt,せんまる
stops,stop_name,立川,ja-Hrkt,たつかわ
stops,stop_name,医師会病院前,ja-Hrkt,いしかいびょういんまえ
stops,stop_name,瀬戸線下市,ja-Hrkt,せとせんしもいち
stops,stop_name,ネオポリス線下市,ja-Hrkt,ねおぽりすせんしもいち
stops,stop_name,赤磐市役所前,ja-Hrkt,あかいわしやくしょまえ
stops,stop_name,高屋（ネオ）,ja-Hrkt,たかや
stops,stop_name,高屋上,ja-Hrkt,たかやかみ
stops,stop_name,沼田,ja-Hrkt,ぬた
stops,stop_name,二井口,ja-Hrkt,ふたいぐち
stops,stop_name,日古木・中島口,ja-Hrkt,ひこぎなかしまぐち
stops,stop_name,桜が丘西一丁目,ja-Hrkt,さくらがおかにしいっちょうめ
stops,stop_name,桜が丘西一丁目上,ja-Hrkt,さくらがおかにしいっちょうめかみ
stops,stop_name,桜が丘西二丁目,ja-Hrkt,さくらがおかにしにちょうめ
stops,stop_name,桜が丘西三丁目,ja-Hrkt,さくらがおかにしさんちょうめ
stops,stop_name,桜が丘西三丁目上,ja-Hrkt,さくらがおかにしさんちょうめかみ
stops,stop_name,桜が丘西五丁目,ja-Hrkt,さくらがおかにしごちょうめ
stops,stop_name,桜が丘西六丁目,ja-Hrkt,さくらがおかにしろくちょうめ
stops,stop_name,桜が丘中央,ja-Hrkt,さくらがおかちゅうおう
stops,stop_name,桜が丘東五丁目,ja-Hrkt,さくらがおかひがしごちょうめ
stops,stop_name,桜が丘東六丁目,ja-Hrkt,さくらがおかひがしろくちょうめ
stops,stop_name,桜が丘東六丁目上,ja-Hrkt,さくらがおかひがしろくちょうめかみ
stops,stop_name,保育園前,ja-Hrkt,ほいくえんまえ
stops,stop_name,野間,ja-Hrkt,のま
stops,stop_name,桜が丘西10丁目東,ja-Hrkt,さくらがおかにしじゅっちょうめひがし
stops,stop_name,桜が丘西10丁目中,ja-Hrkt,さくらがおかにしじゅっちょうめなか
stops,stop_name,桜が丘西10丁目西,ja-Hrkt,さくらがおかにしじゅっちょうめにし
stops,stop_name,桜が丘西９丁目東,ja-Hrkt,さくらがおかにしきゅうちょうめひがし
stops,stop_name,桜が丘西９丁目中,ja-Hrkt,さくらがおかにしきゅうちょうめなか
stops,stop_name,桜が丘西９丁目西,ja-Hrkt,さくらがおかにしきゅうちょうめにし
stops,stop_name,桜が丘運動公園口,ja-Hrkt,さくらがおかうんどうこうえんぐち
stops,stop_name,上市,ja-Hrkt,かみいち
stops,stop_name,正崎下,ja-Hrkt,しょうざきしも
stops,stop_name,正崎,ja-Hrkt,しょうざき
stops,stop_name,五日市下,ja-Hrkt,いつかいちしも
stops,stop_name,五日市上,ja-Hrkt,いつかいちかみ
stops,stop_name,農業試験場口,ja-Hrkt,のうぎょうしけんじょうぐち
stops,stop_name,東窪田,ja-Hrkt,ひがしくぼた
stops,stop_name,窪田,ja-Hrkt,くぼた
stops,stop_name,窪田上,ja-Hrkt,くぼたかみ
stops,stop_name,町苅田下,ja-Hrkt,まちかんだしも
stops,stop_name,町苅田,ja-Hrkt,まちかんだ
stops,stop_name,赤坂支所前,ja-Hrkt,あかさかししょまえ
stops,stop_name,赤坂中学校前,ja-Hrkt,あかさかちゅうがっこうまえ
stops,stop_name,軽部住宅前,ja-Hrkt,かるべじゅうたくまえ
stops,stop_name,軽部下,ja-Hrkt,かるべしも
stops,stop_name,軽部上,ja-Hrkt,かるべかみ
stops,stop_name,多賀下,ja-Hrkt,たがしも
stops,stop_name,多賀上,ja-Hrkt,たがかみ
stops,stop_name,出屋,ja-Hrkt,いでや
stops,stop_name,出屋上,ja-Hrkt,いでやかみ
stops,stop_name,坂辺,ja-Hrkt,さかなべ
stops,stop_name,坂辺上,ja-Hrkt,さかなべかみ
stops,stop_name,合田下,ja-Hrkt,あいだしも
stops,stop_name,合田,ja-Hrkt,あいだ
stops,stop_name,合田上,ja-Hrkt,あいだかみ
stops,stop_name,仁堀下,ja-Hrkt,にぼりしも
stops,stop_name,仁堀,ja-Hrkt,にぼり
stops,stop_name,仁堀局前,ja-Hrkt,にぼりきょくまえ
stops,stop_name,仁堀上,ja-Hrkt,にぼりかみ
stops,stop_name,菊ケ峠,ja-Hrkt,きくがとうげ
stops,stop_name,塩木上,ja-Hrkt,しおぎかみ
stops,stop_name,塩木中,ja-Hrkt,しおぎなか
stops,stop_name,塩木下,ja-Hrkt,しおぎしも
stops,stop_name,湯免温泉,ja-Hrkt,ゆめおんせん
stops,stop_name,佐伯北,ja-Hrkt,さえききた
stops,stop_name,吉井総合センター,ja-Hrkt,よしいそうごうせんたー
stops,stop_name,高田,ja-Hrkt,たかだ
stops,stop_name,稲蒔,ja-Hrkt,いなまき
stops,stop_name,福田住宅前,ja-Hrkt,ふくだじゅうたくまえ
stops,stop_name,福田,ja-Hrkt,ふくだ
stops,stop_name,山方口,ja-Hrkt,やまがたぐち
stops,stop_name,吉井中学校前,ja-Hrkt,よしいちゅうがっこうまえ
stops,stop_name,周匝,ja-Hrkt,すさい
stops,stop_name,周匝上,ja-Hrkt,すさいかみ
stops,stop_name,落合,ja-Hrkt,おちあい
stops,stop_name,高下,ja-Hrkt,こうげ
stops,stop_name,奥,ja-Hrkt,おく
stops,stop_name,奥上,ja-Hrkt,おくかみ
stops,stop_name,天神,ja-Hrkt,てんじん
stops,stop_name,王子橋,ja-Hrkt,おうじばし
stops,stop_name,福本下,ja-Hrkt,ふくもとしも
stops,stop_name,福本,ja-Hrkt,ふくもと
stops,stop_name,小原,ja-Hrkt,こばら
stops,stop_name,椿谷,ja-Hrkt,つばきだに
stops,stop_name,尾谷,ja-Hrkt,おたに
stops,stop_name,尾原,ja-Hrkt,おばら
stops,stop_name,尾原上,ja-Hrkt,おばらかみ
stops,stop_name,樫村,ja-Hrkt,かしむら
stops,stop_name,下倉敷,ja-Hrkt,しもくらしき
stops,stop_name,畑沖下,ja-Hrkt,はたおきしも
stops,stop_name,畑沖,ja-Hrkt,はたおき
stops,stop_name,鷺湯橋,ja-Hrkt,さぎゆばし
stops,stop_name,湯郷温泉下,ja-Hrkt,ゆのごうおんせんしも
stops,stop_name,湯郷温泉上,ja-Hrkt,ゆのごうおんせんかみ
stops,stop_name,美作第一小学校前,ja-Hrkt,みまさかだいいちしょうがっこうまえ
stops,stop_name,林野バスセンター,ja-Hrkt,はやしのばすせんたー
stops,stop_name,本町,ja-Hrkt,ほんまち
stops,stop_name,栄町,ja-Hrkt,さかえまち
stops,stop_name,林野駅前,ja-Hrkt,はやしのえきまえ
stops,stop_name,新道立川口,ja-Hrkt,しんどうたつかわぐち
stops,stop_name,新道河本西,ja-Hrkt,しんどうこうもとにし
stops,stop_name,新道河本,ja-Hrkt,しんどうこうもと
stops,stop_name,新道山陽マルナカ前,ja-Hrkt,しんどうさんようまるなかまえ
stops,stop_name,新道赤磐市役所入口,ja-Hrkt,しんどうあかいわしやくしょいりぐち
stops,stop_name,新道高屋,ja-Hrkt,しんどうたかや
stops,stop_name,新道高屋上,ja-Hrkt,しんどうたかやかみ
stops,stop_name,新道沼田,ja-Hrkt,しんどうぬた
stops,stop_name,新道二井口,ja-Hrkt,しんどうふたいぐち
stops,stop_name,山陽団地中１番,ja-Hrkt,さんようだんちなかいちばん
stops,stop_name,山陽団地郵便局前,ja-Hrkt,さんようだんちゆうびんきょくまえ
stops,stop_name,山陽団地中２番,ja-Hrkt,さんようだんちなかにばん
stops,stop_name,山陽西小学校前,ja-Hrkt,さんようにししょうがっこうまえ
stops,stop_name,山陽団地中３番,ja-Hrkt,さんようだんちなかさんばん
stops,stop_name,下市,ja-Hrkt,しもいち
stops,stop_name,県民局入口（東岡山）,ja-Hrkt,けんみんきょくいりぐち
stops,stop_name,岡電柳川（東岡山）,ja-Hrkt,おかでんやながわひがし
stop_times,stop_headsign,岡山後楽園（県立美術館 経由）,en,Okayama-Korakuen (Okayama Prefectural Museum)
stop_times,stop_headsign,岡山後楽園,en,Okayama-Korakuen
stop_times,stop_headsign,岡山駅（県立美術館 経由）,en,Okayama Sta. (Okayama Prefectural Museum)
stop_times,stop_headsign,岡山駅,en,Okayama Sta.
